id,fact,gptscore_gpt2-large_src_hypo,bartscore_facebook/bart-large-cnn_src_hypo,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_P,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_R,bertscore_microsoft/deberta-large-mnli_layer_default_ref_hypo_F,rouge-1-p_ref_hypo,rouge-1-r_ref_hypo,rouge-1-f_ref_hypo,rouge-2-p_ref_hypo,rouge-2-r_ref_hypo,rouge-2-f_ref_hypo,rouge-l-p_ref_hypo,rouge-l-r_ref_hypo,rouge-l-f_ref_hypo,meteor_ref_hypo,bleu_ref_hypo,moverscore_default_ref_hypo,unieval_fact_consistency_src_hypo,unieval_summarization_coherence_src_hypo,unieval_summarization_consistency_src_hypo,unieval_summarization_fluency_src_hypo,unieval_summarization_overall_src_hypo
60,0.0,-2.1154980659484863,-2.494825839996338,[0.6736229658126831],[0.39876773953437805],[0.5009725093841553],[0.8888888888888888],[0.08602150537634409],[0.15686274348904267],[0.35294117647058826],[0.0196078431372549],[0.03715170178914782],[0.8333333333333334],[0.08064516129032258],[0.14705882192041522],[0.03895601182681459],[1.1484186507842885e-231],[-0.05745633621478996],0.8097393228973837,0.9680744206543676,0.9638793505492463,0.9574490264221213,0.9631342658752451
61,0.0,-1.7098503112792969,-1.5745147466659546,[0.6855496168136597],[0.4191865622997284],[0.5202566385269165],[0.7368421052631579],[0.07142857142857142],[0.13023255652828558],[0.15789473684210525],[0.009708737864077669],[0.0182926818354031],[0.631578947368421],[0.061224489795918366],[0.11162790536549488],[0.03464141348915382],[8.510469113101058e-232],[-0.02497845613936378],0.9133447592373516,0.9304481511915683,0.9138636262527712,0.9633278147274298,0.9358798640572564
62,1.0,-1.591014385223389,-1.73378586769104,[0.6793172359466553],[0.4138825535774231],[0.5143754482269287],[0.8421052631578947],[0.07373271889400922],[0.13559321885844586],[0.45],[0.024456521739130436],[0.046391751599532384],[0.8421052631578947],[0.07373271889400922],[0.13559321885844586],[0.028796302855602942],[1.1070900996592687e-231],[-0.09542878167903557],0.9925761121243256,0.9619367895226045,0.9588829024623147,0.9437872404531217,0.954868977479347
63,1.0,-1.354211449623108,-1.5316802263259888,[0.6958112120628357],[0.46080857515335083],[0.5544359087944031],[0.9375],[0.09202453987730061],[0.1675977637352143],[0.7222222222222222],[0.048327137546468404],[0.09059233331908849],[0.9375],[0.09202453987730061],[0.1675977637352143],[0.05065588672044885],[8.614911585158347e-232],[0.054649244424966215],0.484504553893615,0.9672885628496112,0.9596853065747024,0.9539701115937956,0.9603146603393697
64,0.0,-1.0659023523330688,-1.3145835399627686,[0.6757535934448242],[0.3947676420211792],[0.49838459491729736],[0.8571428571428571],[0.06060606060606061],[0.11320754593627626],[0.5384615384615384],[0.023972602739726026],[0.045901638528137605],[0.8571428571428571],[0.06060606060606061],[0.11320754593627626],[0.04042725981501491],[9.257324954728539e-232],[-0.022734454225330714],0.0258678589353974,0.38066783393402925,0.4228040976259609,0.9498765695833311,0.5844495003811071
65,1.0,-1.7132182121276855,-1.3096356391906738,[0.729905366897583],[0.4107810854911804],[0.5257033109664917],[0.8235294117647058],[0.06222222222222222],[0.11570247803257974],[0.35294117647058826],[0.016],[0.030612244068226803],[0.8235294117647058],[0.06222222222222222],[0.11570247803257974],[0.026281799601507373],[1.0377133938315695e-231],[-0.05928534292444221],0.9153771903334856,0.9724460380102099,0.9717269009300706,0.9434241784331142,0.9625323724577983
66,0.0,-1.2520731687545776,-1.459464192390442,[0.709723174571991],[0.4585128128528595],[0.5571085810661316],[0.9333333333333333],[0.06635071090047394],[0.1238938040704049],[0.5],[0.0243161094224924],[0.04637681070968285],[0.9333333333333333],[0.06635071090047394],[0.1238938040704049],[0.02953081563803569],[1.1640469867513693e-231],[-0.07070570224580441],0.0592097300255253,0.09124757735054796,0.04079857118029455,0.9117324687338085,0.3479262057548837
67,0.0,-1.3211463689804075,-1.6424200534820557,[0.6297889351844788],[0.4014928638935089],[0.49037182331085205],[0.8571428571428571],[0.08695652173913043],[0.15789473516966757],[0.2857142857142857],[0.018633540372670808],[0.03498542159100379],[0.7619047619047619],[0.07729468599033816],[0.1403508755205448],[0.04179316058492508],[1.0948551819675659e-231],[-0.06904853683420176],0.0688097439638525,0.8351144936475071,0.7762766632635982,0.9170070145837209,0.8427993904982753
68,1.0,-1.869556188583374,-1.3713027238845823,[0.705968976020813],[0.42941975593566895],[0.5340145230293274],[1.0],[0.08125],[0.15028901595108426],[0.16666666666666666],[0.007462686567164179],[0.01428571346530617],[0.9230769230769231],[0.075],[0.13872832230946575],[0.025207057976233346],[1.1200407237786664e-231],[0.006500595386021102],0.5221011790975293,0.8824489393704597,0.8866347247158115,0.9577669737479898,0.9089502126114203
69,0.0,-1.808517813682556,-2.3790512084960938,[0.6499895453453064],[0.402712345123291],[0.49730849266052246],[0.7894736842105263],[0.08064516129032258],[0.14634146173277812],[0.3333333333333333],[0.018461538461538463],[0.03498542174604122],[0.7368421052631579],[0.07526881720430108],[0.1365853641718025],[0.03777810592636345],[8.614911585158347e-232],[0.002199176184756957],0.0508631637012628,0.7530716205914886,0.7295160715413969,0.9520397316872001,0.8115424746066952
70,0.0,-1.5508675575256348,-1.6566561460494995,[0.7282326221466064],[0.381446897983551],[0.5006528496742249],[0.9285714285714286],[0.05439330543933055],[0.10276679737349437],[0.6428571428571429],[0.020134228187919462],[0.039045552556406196],[0.9285714285714286],[0.05439330543933055],[0.10276679737349437],[0.018290984635755545],[1.0832677820940877e-231],[-0.1298512341161686],0.6324457819892105,0.828331211533531,0.7714993866662332,0.9454898570866379,0.848440151762134
71,0.0,-1.467742681503296,-1.9351518154144287,[0.6741180419921875],[0.3779870867729187],[0.48437726497650146],[0.8461538461538461],[0.05365853658536585],[0.10091743007112196],[0.4166666666666667],[0.013123359580052493],[0.025445292028825065],[0.8461538461538461],[0.05365853658536585],[0.10091743007112196],[0.015166835187057635],[9.418382295637229e-232],[-0.10485669740078074],0.0306529315272914,0.8962968809817342,0.8706978194681122,0.9297231565792922,0.8989059523430463
72,0.0,-2.218068599700928,-1.2820510864257812,[0.6985989212989807],[0.39573633670806885],[0.5052582621574402],[0.5625],[0.04225352112676056],[0.07860261878758988],[0.17647058823529413],[0.00804289544235925],[0.015384614550821874],[0.5625],[0.04225352112676056],[0.07860261878758988],[0.019514605189691146],[1.1484186507842885e-231],[-0.052398327501781417],0.8853589480087658,0.9548046884695978,0.952887588761096,0.9300714161362907,0.9459212311223282
73,0.0,-1.1318916082382202,-1.9564831256866453,[0.7086520195007324],[0.44855010509490967],[0.549369752407074],[1.0],[0.088],[0.161764704395545],[0.6956521739130435],[0.03361344537815126],[0.06412825563367217],[0.9545454545454546],[0.084],[0.1544117632190744],[0.031079804560260584],[9.689041594391036e-232],[0.026091668843290505],0.7918584085619025,0.9517343754437194,0.9450319123015914,0.9095708669397785,0.9354457182283631
74,1.0,-2.2158777713775635,-2.4363200664520264,[0.694720447063446],[0.4137103259563446],[0.51859450340271],[0.8461538461538461],[0.043478260869565216],[0.08270676598761943],[0.4166666666666667],[0.0102880658436214],[0.020080320814825577],[0.8461538461538461],[0.043478260869565216],[0.08270676598761943],[0.011603171533552505],[1.1200407237786664e-231],[-0.047893364292079355],0.6823215517066927,0.8217530074171933,0.7920205107132308,0.9177419474169402,0.843838488515788
75,0.0,-2.032660484313965,-1.9843714237213133,[0.7576884627342224],[0.4113118052482605],[0.5331841707229614],[0.8666666666666667],[0.08387096774193549],[0.1529411748615917],[0.5],[0.027450980392156862],[0.05204460867870816],[0.8],[0.07741935483870968],[0.14117646897923877],[0.03534261128850488],[1.1988328686372911e-231],[-0.06928024555848156],0.9216439146230916,0.9709449578133745,0.9699572564421747,0.9530168841681912,0.9646396994745802
76,1.0,-1.7257611751556396,-1.50664484500885,[0.6868340373039246],[0.4086515009403229],[0.5124225616455078],[0.8333333333333334],[0.03875968992248062],[0.07407407322469137],[0.2727272727272727],[0.006224066390041493],[0.012170384959246917],[0.75],[0.03488372093023256],[0.06666666581728396],[0.010845986984815618],[1.1409851298103347e-231],[-0.05654174183504246],0.9840634618350556,0.9090485840818735,0.8835911813754521,0.9463803298722682,0.913006698443198
77,1.0,-1.6779882907867432,-1.92631995677948,[0.6744053959846497],[0.3769315779209137],[0.4835836589336395],[0.8571428571428571],[0.046153846153846156],[0.08759123990622837],[0.5384615384615384],[0.015250544662309368],[0.029661016413476737],[0.8571428571428571],[0.046153846153846156],[0.08759123990622837],[0.013482679941920764],[9.257324954728539e-232],[-0.014940041570432161],0.9587899685202368,0.8585476309239418,0.8137804706302079,0.9106633257832101,0.8609971424457866
78,0.0,-2.571396350860596,-2.521860361099243,[0.6582122445106506],[0.40798628330230713],[0.5037364959716797],[0.8461538461538461],[0.05612244897959184],[0.10526315672809688],[0.3076923076923077],[0.011560693641618497],[0.022284121864665874],[0.7692307692307693],[0.05102040816326531],[0.09569377873766625],[0.028269845704883428],[1.1008876702055895e-231],[-0.0393985669232404],0.6647521114423732,0.9468480869121536,0.941513291296899,0.6652271253314421,0.8511961678468317
79,0.0,-2.7134928703308105,-2.943545341491699,[0.7021598815917969],[0.39757323265075684],[0.5076867341995239],[0.7777777777777778],[0.07216494845360824],[0.13207547014417942],[0.11764705882352941],[0.006309148264984227],[0.011976046938040165],[0.6666666666666666],[0.061855670103092786],[0.11320754561587755],[0.025756600128782996],[1.0377133938315695e-231],[-0.028138767922191166],0.2658833208340428,0.9028953350799791,0.8836551941877326,0.9199563185703304,0.9021689492793473
80,1.0,-1.1042098999023438,-1.3737506866455078,[0.7562910318374634],[0.41129544377326965],[0.5328240394592285],[0.9375],[0.07936507936507936],[0.1463414619754908],[0.8],[0.03986710963455149],[0.0759493661843054],[0.875],[0.07407407407407407],[0.13658536441451516],[0.03725266907202683],[1.1808001696991507e-231],[-0.10120781153974567],0.9716328358662284,0.9787974724310413,0.9759562843769305,0.95506214354812,0.9699386334520307
81,0.0,-2.2267465591430664,-2.605163812637329,[0.7243249416351318],[0.495922714471817],[0.588748037815094],[0.6956521739130435],[0.10738255033557047],[0.18604650931111413],[0.4090909090909091],[0.038461538461538464],[0.07031249842895511],[0.6521739130434783],[0.10067114093959731],[0.17441860233436993],[0.04691768759935651],[9.788429383461836e-232],[0.028239698727964946],0.0625704955929923,0.7033003982360571,0.6974390593254012,0.9314286652221414,0.7773893742611998
82,0.0,-2.272928237915039,-2.4464046955108643,[0.6497597694396973],[0.39005109667778015],[0.4874723255634308],[0.7777777777777778],[0.05982905982905983],[0.11111110978458051],[0.29411764705882354],[0.0117096018735363],[0.02252252178607664],[0.6666666666666666],[0.05128205128205128],[0.09523809391156463],[0.02057142857142857],[1.0377133938315695e-231],[-0.0700151336430701],0.8414057284111819,0.9472145832590911,0.9395772583025084,0.9520524955488954,0.9462814457034984
83,1.0,-1.7620773315429688,-1.5457342863082886,[0.7532445192337036],[0.39333388209342957],[0.5168012976646423],[0.9230769230769231],[0.0916030534351145],[0.1666666650241127],[0.5],[0.02643171806167401],[0.050209204067155705],[0.9230769230769231],[0.0916030534351145],[0.1666666650241127],[0.03976800046868592],[9.418382295637229e-232],[-0.07964338188457853],0.9131060243563012,0.9720331518030438,0.9714014990060619,0.939711194418207,0.961048615075771
84,1.0,-2.1705162525177,-1.4196277856826782,[0.694422721862793],[0.39942121505737305],[0.5071421265602112],[0.9444444444444444],[0.08673469387755102],[0.1588785031321513],[0.5882352941176471],[0.03058103975535168],[0.05813953394419283],[0.8888888888888888],[0.08163265306122448],[0.1495327087396279],[0.03583688174765137],[1.0377133938315695e-231],[-0.03590336669051841],0.662846336852913,0.9576550731357266,0.9573733734168092,0.9064865364340717,0.9405049943288691
85,1.0,-1.895166158676148,-2.2892088890075684,[0.6973874568939209],[0.42697733640670776],[0.5296655297279358],[0.8823529411764706],[0.07936507936507936],[0.14563106644688473],[0.4375],[0.0219435736677116],[0.04179104386651818],[0.8823529411764706],[0.07936507936507936],[0.14563106644688473],[0.030512449398856827],[8.844844403089351e-232],[-0.014935051273298416],0.90413232663974,0.9780792684480554,0.9760516792966056,0.9137680563149869,0.9559663346865493
86,0.0,-1.9330638647079468,-2.079108715057373,[0.6982146501541138],[0.39666205644607544],[0.5059112906455994],[0.5294117647058824],[0.0379746835443038],[0.07086614048329098],[0.11764705882352941],[0.004878048780487805],[0.009367680734277111],[0.5294117647058824],[0.0379746835443038],[0.07086614048329098],[0.019689400810027558],[1.0377133938315695e-231],[0.030735337269242602],0.2869548024580727,0.4270811546029003,0.269830044032193,0.9164001100971256,0.537770436244073
87,1.0,-1.1348588466644287,-1.0024570226669312,[0.7494024038314819],[0.4663754105567932],[0.5749452710151672],[1.0],[0.11351351351351352],[0.20388349331463856],[0.7083333333333334],[0.051829268292682924],[0.09659090782024793],[0.9047619047619048],[0.10270270270270271],[0.18446601758648323],[0.0497243043140404],[9.594503055152632e-232],[0.1077930239190441],0.895497735942335,0.9867911186641926,0.9851875196633995,0.8936612454095733,0.9552132945790551
88,1.0,-1.4220012426376345,-1.4667494297027588,[0.7415686845779419],[0.4205457270145416],[0.5367174744606018],[0.8461538461538461],[0.05365853658536585],[0.10091743007112196],[0.5833333333333334],[0.017543859649122806],[0.0340632597737404],[0.8461538461538461],[0.05365853658536585],[0.10091743007112196],[0.01975852126454536],[1.1200407237786664e-231],[-0.046334976462576005],0.9860119355596124,0.9701951941566128,0.9701607118218912,0.948406777179834,0.9629208943861127
89,0.0,-1.521548867225647,-1.4900962114334106,[0.6514899134635925],[0.39812204241752625],[0.49422553181648254],[0.8235294117647058],[0.07368421052631578],[0.135265698975472],[0.375],[0.020338983050847456],[0.03858520802721231],[0.8235294117647058],[0.07368421052631578],[0.135265698975472],[0.034484586836325076],[1.0518351895246305e-231],[-0.053306749690433364],0.8992390447821327,0.9324467089535312,0.9180248281370403,0.8974081188681525,0.9159598853195746
90,1.0,-1.073765516281128,-1.0482723712921145,[0.802158534526825],[0.4585529863834381],[0.5835310816764832],[0.95],[0.1347517730496454],[0.23602484254465492],[0.7619047619047619],[0.06926406926406926],[0.1269841254563492],[0.9],[0.1276595744680851],[0.22360248229620772],[0.06387489998772088],[9.893133360884868e-232],[0.045415261014406405],0.9082867188026388,0.973815556760047,0.9673483081084604,0.9627861815665409,0.9679833488116828
91,1.0,-1.7906650304794312,-2.061035394668579,[0.6799454092979431],[0.4450486898422241],[0.5379740595817566],[0.85],[0.10828025477707007],[0.19209039347569348],[0.34782608695652173],[0.03088803088803089],[0.05673758715431823],[0.85],[0.10828025477707007],[0.19209039347569348],[0.0647269660552393],[8.147480343967206e-232],[-0.009106014169536492],0.9402000388899852,0.9762007623768424,0.9732056119755148,0.9432225097704728,0.9642096280409435
92,1.0,-1.6704401969909668,-1.972342610359192,[0.6561028361320496],[0.4078490734100342],[0.5030131936073303],[0.9],[0.09045226130653267],[0.1643835599841538],[0.3684210526315789],[0.01977401129943503],[0.037533511097470725],[0.75],[0.07537688442211055],[0.1369862997101812],[0.03208442741048608],[1.012071042130996e-231],[0.02306820565788914],0.3922411732510454,0.856912720426985,0.8433580453781474,0.9183422173871421,0.8728709943974248
93,1.0,-2.051536798477173,-2.3208658695220947,[0.7285550832748413],[0.39806127548217773],[0.5148328542709351],[0.9411764705882353],[0.08080808080808081],[0.14883720784597082],[0.47058823529411764],[0.023323615160349854],[0.04444444354459878],[0.9411764705882353],[0.08080808080808081],[0.14883720784597082],[0.03368874114849971],[8.726094729337945e-232],[-0.004608500482213396],0.7100787858201797,0.9065568475290958,0.8727007874524974,0.9387114293111519,0.9059896880975816
94,1.0,-1.9296257495880127,-1.737070083618164,[0.6780309677124023],[0.39246267080307007],[0.4971572160720825],[0.8181818181818182],[0.08695652173913043],[0.15720523843786352],[0.43478260869565216],[0.03115264797507788],[0.05813953363591809],[0.8181818181818182],[0.08695652173913043],[0.15720523843786352],[0.052819930491036095],[9.689041594391036e-232],[-0.002190436699454068],0.8448356363252707,0.871165854985342,0.852942798970337,0.9534081709224919,0.8925056082927236
95,0.0,-1.8455350399017327,-1.832882523536682,[0.6184517741203308],[0.39072269201278687],[0.4788927137851715],[1.0],[0.07142857142857142],[0.1333333320888889],[0.3157894736842105],[0.012170385395537525],[0.02343749928535464],[0.9],[0.06428571428571428],[0.11999999875555555],[0.028327928927034486],[8.510469113101058e-232],[-0.0503044550997942],0.6026351748628903,0.7296247338856041,0.6090969477517335,0.9072326688243206,0.748651450153886
96,1.0,-1.3624224662780762,-1.4147168397903442,[0.6784629225730896],[0.39313799142837524],[0.4978151023387909],[0.8333333333333334],[0.0423728813559322],[0.08064516036940687],[0.6666666666666666],[0.019801980198019802],[0.038461537901257406],[0.8333333333333334],[0.0423728813559322],[0.08064516036940687],[0.02941678246292459],[9.418382295637229e-232],[-0.010427222387626944],0.986779970822088,0.9717717555974483,0.9687248937777927,0.964306591022976,0.9682677467994057
97,0.0,-2.234610080718994,-2.840345621109009,[0.712712287902832],[0.426448255777359],[0.533612072467804],[0.8571428571428571],[0.1016949152542373],[0.18181817992194677],[0.15],[0.010869565217391304],[0.02027026901022652],[0.7142857142857143],[0.0847457627118644],[0.15151514961891646],[0.04448722436121806],[1.0003688322288243e-231],[-0.021469697054461223],0.1088102333728426,0.5405689596614767,0.44721226752852133,0.6556007320226843,0.5477939864042275
98,1.0,-1.81588613986969,-1.7956000566482544,[0.7014148235321045],[0.4037454128265381],[0.5124922394752502],[0.9090909090909091],[0.07518796992481203],[0.13888888747781636],[0.2727272727272727],[0.012605042016806723],[0.024096384697666198],[0.8636363636363636],[0.07142857142857142],[0.1319444430333719],[0.03132189759998405],[8.231055179516831e-232],[-0.07700728875508966],0.0151468172674412,0.49476727336842086,0.4374622878006105,0.9511154905277274,0.6277816838989195
99,0.0,-1.0181463956832886,-1.2543436288833618,[0.743688702583313],[0.41188785433769226],[0.5301532745361328],[0.875],[0.058823529411764705],[0.11023621929195858],[0.7647058823529411],[0.033854166666666664],[0.06483790442497248],[0.875],[0.058823529411764705],[0.11023621929195858],[0.026242342258295238],[8.726094729337945e-232],[-0.07016871493826127],0.9726770556127246,0.9157803878808276,0.9266091140493762,0.9317576880019406,0.9247157299773815
100,0.0,-1.6761794090270996,-1.589956521987915,[0.6846867203712463],[0.44534146785736084],[0.5396668314933777],[0.6521739130434783],[0.0847457627118644],[0.1499999979645],[0.21739130434782608],[0.016611295681063124],[0.030864196211896112],[0.6086956521739131],[0.07909604519774012],[0.13999999796450002],[0.03855754756114901],[9.689041594391036e-232],[0.020006488922121868],0.9395595040966246,0.9306433333886666,0.9235300613283104,0.9603502996514618,0.9381745647894796
101,0.0,-1.1143527030944824,-2.0090668201446533,[0.6803849339485168],[0.44350892305374146],[0.5369845032691956],[0.5416666666666666],[0.06435643564356436],[0.1150442458892631],[0.041666666666666664],[0.003205128205128205],[0.005952379625850635],[0.5416666666666666],[0.06435643564356436],[0.1150442458892631],[0.02885647397802989],[1.072268715173723e-231],[-0.050085176146252186],0.0276553843331321,0.3388934735617365,0.16836830024851518,0.956134970296475,0.4877989147022422
102,0.0,-1.9192906618118288,-2.095166206359864,[0.742049515247345],[0.4501127004623413],[0.5603363513946533],[0.7142857142857143],[0.06134969325153374],[0.11299434882568868],[0.21428571428571427],[0.01195219123505976],[0.022641508433179112],[0.7142857142857143],[0.06134969325153374],[0.11299434882568868],[0.04287117244157937],[9.109159947227211e-232],[-0.017225806702602764],0.1261844740819439,0.31127531397158464,0.15918729335302662,0.9164796953146245,0.4623141008797453
103,0.0,-1.9814229011535645,-1.962574481964112,[0.7320472598075867],[0.3783322870731354],[0.4988512694835663],[0.8181818181818182],[0.04945054945054945],[0.09326424762973504],[0.6],[0.019736842105263157],[0.03821655989289627],[0.8181818181818182],[0.04945054945054945],[0.09326424762973504],[0.020686848958333334],[9.788429383461836e-232],[-0.13239124692523774],0.0040008271417001,0.3362658569472923,0.2715295211598799,0.9546207992913207,0.5208053924661643
104,0.0,-2.0533368587493896,-1.3946372270584106,[0.6221278309822083],[0.3589337170124054],[0.4552265703678131],[0.8125],[0.053497942386831275],[0.10038609922690479],[0.2],[0.00683371298405467],[0.01321585839187645],[0.6875],[0.04526748971193416],[0.08494208378288935],[0.01493174061433447],[8.972141065609098e-232],[-0.12685695857109724],0.947631166470442,0.9648254693503281,0.965754429673052,0.8962606413458414,0.9422801801230737
105,0.0,-2.4398982524871826,-2.273093938827514,[0.6571177840232849],[0.39168503880500793],[0.49081331491470337],[0.6842105263157895],[0.05652173913043478],[0.10441766927307626],[0.3],[0.014218009478672985],[0.027149320402940182],[0.5789473684210527],[0.04782608695652174],[0.08835341224496382],[0.02964465044418694],[8.412065649527267e-232],[-0.1235465454131286],0.965380371430056,0.6495320537698713,0.49598198278371974,0.9577130832945169,0.7010757066160359
106,1.0,-1.6935416460037231,-1.7433993816375732,[0.6872836947441101],[0.452262818813324],[0.5455378293991089],[0.7],[0.07909604519774012],[0.14213197787111237],[0.3333333333333333],[0.029304029304029304],[0.05387205238649122],[0.65],[0.07344632768361582],[0.131979693607153],[0.046817690149402],[1.0518351895246305e-231],[0.018222811688438756],0.9528671399323794,0.9744466969556599,0.9727032909639541,0.9431523578643543,0.9634341152613227
107,0.0,-1.565618872642517,-1.823416829109192,[0.71965491771698],[0.4782830476760864],[0.5746520161628723],[0.8095238095238095],[0.06666666666666667],[0.12318840439114684],[0.3333333333333333],[0.01511879049676026],[0.02892561900459329],[0.7619047619047619],[0.06274509803921569],[0.11594202757955262],[0.023144115859833916],[1.1764984582435574e-231],[0.026247912671048534],0.0717062997320691,0.06323018633146829,0.0284313189354439,0.9379724034852799,0.3432113029173974
108,0.0,-1.4473865032196045,-1.2824389934539795,[0.676541268825531],[0.3954351842403412],[0.49913081526756287],[0.9166666666666666],[0.0650887573964497],[0.12154696008790941],[0.5833333333333334],[0.023809523809523808],[0.04575163323337179],[0.8333333333333334],[0.05917159763313609],[0.11049723633100333],[0.026837611311660566],[9.418382295637229e-232],[-0.04833238207900803],0.6587670399926946,0.9579389675329738,0.9484330202841665,0.9635630095545407,0.9566449991238937
109,1.0,-2.2830140590667725,-1.4226096868515017,[0.7078524231910706],[0.41850271821022034],[0.5260120034217834],[0.9090909090909091],[0.07092198581560284],[0.13157894602579642],[0.42857142857142855],[0.019027484143763214],[0.03643724614950255],[0.8636363636363636],[0.0673758865248227],[0.12499999865737535],[0.029301092727597466],[8.319100378795605e-232],[-0.03623047738219065],0.9211207770554336,0.8992893704775117,0.897543348402076,0.9327028012570606,0.9098451733788827
110,1.0,-1.4926837682724,-1.7512561082839966,[0.6892361044883728],[0.4287814497947693],[0.5286708474159241],[0.75],[0.07947019867549669],[0.14371257311771668],[0.5],[0.03162055335968379],[0.059479552784511],[0.75],[0.07947019867549669],[0.14371257311771668],[0.027386541471048513],[8.844844403089351e-232],[-0.025564070634922276],0.6251699525627485,0.9361026543467682,0.9197421173597489,0.9532390825076364,0.9363612847380512
111,1.0,-2.2382051944732666,-1.7489421367645264,[0.7370436191558838],[0.41913318634033203],[0.5343809723854065],[1.0],[0.07075471698113207],[0.13215858907411362],[0.4666666666666667],[0.019662921348314606],[0.0377358482806722],[0.8666666666666667],[0.06132075471698113],[0.11453744369966427],[0.02740805863889572],[1.0669733992029681e-231],[0.0035621312537243988],0.3325729984386569,0.962780910606948,0.9573998881438226,0.9588329594487969,0.9596712527331892
112,1.0,-2.023642063140869,-2.243303775787353,[0.66983962059021],[0.3933873176574707],[0.49567294120788574],[0.6842105263157895],[0.050387596899224806],[0.0938628146067328],[0.05263157894736842],[0.0022675736961451248],[0.004347825294990693],[0.631578947368421],[0.046511627906976744],[0.0866425980002346],[0.0218840945026238],[1.2035620841904511e-231],[-0.08371727126202133],0.9873933215802428,0.9456956277535328,0.9367419911214981,0.9540276130729684,0.945488410649333
113,0.0,-1.8504027128219604,-2.144373655319214,[0.7168084979057312],[0.42885446548461914],[0.5366438627243042],[0.8421052631578947],[0.08080808080808081],[0.14746543619019306],[0.2222222222222222],[0.012618296529968454],[0.023880595998039694],[0.8421052631578947],[0.08080808080808081],[0.14746543619019306],[0.032405007392047304],[1.2183324802375697e-231],[0.00466418629296117],0.7374336429573088,0.9325455861075009,0.9361762671244022,0.9155970947009923,0.9281063159776318
114,1.0,-2.137370347976685,-1.636979579925537,[0.7613689303398132],[0.41585034132003784],[0.5379040837287903],[1.0],[0.058823529411764705],[0.11111111006172841],[0.8],[0.02536997885835095],[0.0491803272729945],[1.0],[0.058823529411764705],[0.11111111006172841],[0.01755835571162983],[1.0669733992029681e-231],[0.03551155962875985],0.8540564710236445,0.9569057003966842,0.9539343650276528,0.9137044120721227,0.9415148258321532
115,1.0,-1.4312604665756226,-1.6489332914352417,[0.7466880083084106],[0.46941885352134705],[0.5764451026916504],[0.7],[0.09032258064516129],[0.1599999979755102],[0.3],[0.02510460251046025],[0.04633204490690364],[0.7],[0.09032258064516129],[0.1599999979755102],[0.06064980848663393],[1.0003688322288243e-231],[0.0020747326146043354],0.9757185938572616,0.9789063041536012,0.9772953858855161,0.933013076301184,0.9630715887801005
116,0.0,-3.1068274974823,-2.6524484157562256,[0.5473276972770691],[0.301560640335083],[0.3888673782348633],[0.8181818181818182],[0.052941176470588235],[0.0994475126705534],[0.3],[0.010752688172043012],[0.020761245006645057],[0.8181818181818182],[0.052941176470588235],[0.0994475126705534],[0.017730496453900707],[9.788429383461836e-232],[-0.18979159958070624],0.1176256727329983,0.955488367424949,0.9489986797201153,0.0138543945700661,0.6394471472383768
117,1.0,-1.7589643001556396,-1.81002414226532,[0.6967385411262512],[0.39526069164276123],[0.5043838024139404],[0.7692307692307693],[0.049019607843137254],[0.09216589749113382],[0.5833333333333334],[0.02005730659025788],[0.03878116279218239],[0.7692307692307693],[0.049019607843137254],[0.09216589749113382],[0.02067378039288939],[9.418382295637229e-232],[-0.04617031259826776],0.9573417169514534,0.8377948010936408,0.7533996274437631,0.9507473378430003,0.8473139221268013
118,0.0,-1.2346705198287964,-1.6278961896896362,[0.7180237770080566],[0.4494665563106537],[0.5528571009635925],[0.8636363636363636],[0.10106382978723404],[0.18095237907664397],[0.6363636363636364],[0.04430379746835443],[0.08284023546934632],[0.6818181818181818],[0.0797872340425532],[0.14285714098140592],[0.051618483281500156],[9.788429383461836e-232],[0.0013477837718220975],0.7789818931668682,0.949253188293627,0.9320470621726272,0.9268346992989909,0.9360449832550817
119,1.0,-1.4407793283462524,-1.716579794883728,[0.762462854385376],[0.44021472334861755],[0.5581668019294739],[0.9583333333333334],[0.11004784688995216],[0.19742489085597456],[0.5833333333333334],[0.03888888888888889],[0.07291666549479169],[0.9583333333333334],[0.11004784688995216],[0.19742489085597456],[0.05328454396504642],[1.1409851298103347e-231],[-0.012129404389919607],0.9372939796076648,0.9615582344489579,0.9548504350314918,0.9488473431874636,0.9550853375559711
120,1.0,-2.165905237197876,-2.4631271362304688,[0.700620174407959],[0.3820168375968933],[0.49443843960762024],[0.8235294117647058],[0.04778156996587031],[0.09032257960853278],[0.375],[0.012096774193548387],[0.023437499394531262],[0.7058823529411765],[0.040955631399317405],[0.07741935380208116],[0.02187125152651232],[8.844844403089351e-232],[-0.04153183721213516],0.976504074505978,0.9277511836879595,0.9241343004629892,0.9201174230361194,0.9240009690623561
121,0.0,-2.046276330947876,-2.0527267456054688,[0.6628655195236206],[0.378157377243042],[0.4815791845321655],[0.6666666666666666],[0.05853658536585366],[0.10762331690160672],[0.3333333333333333],[0.01764705882352941],[0.033519552117599355],[0.6666666666666666],[0.05853658536585366],[0.10762331690160672],[0.031180238861347978],[8.614911585158347e-232],[-0.09704431780052913],0.8834536317478224,0.9658474316740295,0.9649489131187294,0.9481292105004209,0.9596418517643933
