id,src,sys,refs,ref,informativeness,naturalness,quality
225,"inform(name='san francisco inn civic center',has_internet='yes')",San francisco inn civic center has internet .,"['San francisco inn civic center has internet', 'San francisco inn civic center has internet .', 'The san francisco inn civic center is a hotel that has internet', 'Yes , the san francisco inn civic center has available internet .']",San francisco inn civic center has internet,5.5,5.5,5.0
226,"inform(name='san francisco marriott marquis',address='780 mission st',phone='4158961600')","San francisco marriott marquis is located at 780 mission st , and their phone number is 4158961600 .",['The san francisco marriott marquis adress is 780 mission st and the phne number is 4158961600'],The san francisco marriott marquis adress is 780 mission st and the phne number is 4158961600,5.5,4.5,3.0
227,"inform(name='san francisco marriott marquis',dogs_allowed='none',accepts_credit_cards='yes')",The san francisco marriott marquis allows dogs and accepts credit cards .,['San francisco marriott marquis accepts credit card -s and does not allow dogs .'],San francisco marriott marquis accepts credit card -s and does not allow dogs .,4.0,5.0,5.0
228,"inform(name='san francisco marriott marquis',near='soma')",He san francisco marriott marquis is located near soma .,"['The san francisco marriott marquis is near soma .', 'San francisco marriott marquis is near soma .']",The san francisco marriott marquis is near soma .,4.5,1.5,1.0
229,"inform(name='san remo hotel',address='2237 mason st')",You may find the san remo hotel at 2237 mason st .,['The address for the san remo hotel is 2237 mason st .'],The address for the san remo hotel is 2237 mason st .,6.0,6.0,6.0
230,"inform(name='san remo hotel',address='2237 mason st',phone='4157768688')","San remo hotel is located at 2237 mason st , and their phone number is 4157768688 .","['San remo hotel address is 2237 mason st and the phone nubmer is 4157768688', ""The san remo hotel 's address is 2237 mason st. its phone number is 4157768688""]",San remo hotel address is 2237 mason st and the phone nubmer is 4157768688,6.0,5.5,5.0
231,"inform(name='san remo hotel',area='north beach')",There is a hotel called in the san remo hotel and in the area of north beach .,"['The north beach has hotel called san remo hotel', 'The san remo hotel is in the area of north beach .', 'Sure there is a hotel in the north beach area called the san remo hotel that has internet access .', 'The name is san remo hotel in north beach', 'The san remo hotel is in the north beach area .', 'San remo hotel is a hotel in north beach', 'San remo hotel is in the north beach area', 'The san remo hotel is a nice hotel that is in north beach']",The north beach has hotel called san remo hotel,5.5,3.0,3.0
232,"inform(name='seal rock inn',accepts_credit_cards='yes',near='outer richmond')",Seal rock inn is located near outer richmond and they accept credit cards .,"['The seal rock inn accepts credit card -s in the area near outer richmond', 'The seal rock inn near outer richmond accepts credit card -s .', 'I found a seal rock inn that accepts credit card -s near the outer richmond area']",The seal rock inn accepts credit card -s in the area near outer richmond,6.0,5.0,5.0
233,"inform(name='seal rock inn',address='545 point lobos ave',postcode='94121')","The address for seal rock inn is 545 point lobos ave , 94121 .","['The address of the seal rock inn is 545 point lobos ave and the postcode of the seal rock inn is 94121 .', 'The seal rock inn address is 545 point lobos ave and the post code is 94121', ""Seal rock inn 's address is 545 point lobos ave. the postcode is 94121"", ""Seal rock inn 's address is 545 point lobos ave 94121"", 'The seal rock inn is at 545 point lobos ave 94121 .', 'Seal rock inn address 545 point lobos ave. postcode 94121', 'The seal rock inn address is 545 point lobos ave postcode 94121']",The address of the seal rock inn is 545 point lobos ave and the postcode of the seal rock inn is 94121 .,6.0,6.0,6.0
234,"inform(name='seal rock inn',area='outer richmond')",There is a hotel called in the seal rock inn and in the area of outer richmond .,"['Sure . There is a hotel called the seal rock inn in the area of outer richmond .', 'The seal rock inn is in the outer richmond area', 'The seal rock inn is in outer richmond .', 'Seal rock inn is in the outer richmond area .', 'Seal rock inn near outer richmond .', 'There is the seal rock inn in outer richmond .', 'There is a hotel in the outer richmond area called seal rock inn .']",Sure . There is a hotel called the seal rock inn in the area of outer richmond .,5.0,3.0,2.5
235,"inform(name='seal rock inn',near='outer richmond')",He seal rock inn is located near outer richmond .,"['Seal rock inn is located near outer richmond .', 'There is a hotel in the outer richmond area called the seal rock inn .', 'The seal rock inn can be found in outer richmond .', 'Seal rock inn is near the outer richmond', 'The seal rock inn is located in outer richmond .', 'Seal rock inn is near outer richmond', 'The seal rock inn is near outer richmond .', 'Seal rock inn is in outer richmond .', 'Outer richmond has a hotel called the seal rock inn .', 'The seal rock inn is near outer richmond', 'I have found the seal rock inn near outer richmond .', 'The hotel is called the seal rock inn and ot is near outer richmond .', 'I found a seal rock inn near the outer richmond area .', 'The seal rock inn near outer richmond']",Seal rock inn is located near outer richmond .,5.0,4.0,2.5
236,"inform(name='seal rock inn',near='outer richmond',accepts_credit_cards='yes')",Seal rock inn is located near outer richmond and they accept credit cards .,"['Seal rock inn near outer richmond accepts credit card -s .', 'The hotel seal rock inn near outer richmond accepts credit card -s', 'The seal rock inn near outer richmond accepts credit card -s', 'I found a seal rock inn that accepts credit card -s near the outer richmond area .']",Seal rock inn near outer richmond accepts credit card -s .,6.0,6.0,5.5
237,"inform(name='seal rock inn',price_range='moderate',address='545 point lobos ave',phone='4157528000')","Seal rock inn has a moderate price range , address is 545 point lobos ave , phone number is 4157528000 .","['Sure . The seal rock inn is moderate -ly priced and their address is 545 point lobos ave and their phone number is 4157528000', 'The moderate priced seal rock inn is located at 545 point lobos ave. phone is 4157528000 .', 'The seal rock inn has a moderate price range address is 545 point lobos ave phone number is 4157528000']",Sure . The seal rock inn is moderate -ly priced and their address is 545 point lobos ave and their phone number is 4157528000,6.0,5.0,4.5
238,"inform(name='seal rock inn',type='hotel')",The name is seal rock inn and it is a nice hotel .,"['One hotel is called seal rock inn .', 'Seal rock inn , hotel', 'The name of the hotel is seal rock inn .', 'The seal rock inn is a nice hotel .', 'The name hotel is seal rock inn .', 'The name is seal rock inn and it is a nice hotel .', 'Seal rock inn is a nice hotel .', 'The name of the hotel is the seal rock inn .', 'The seal rock inn is a hotel', 'There is a hotel called seal rock inn .']",One hotel is called seal rock inn .,6.0,4.5,5.0
239,"inform(name='sir francis drake c a kimpton hotel',price_range='pricey',area='downtown')",Sir francis drake c a kimpton hotel has a pricey price range in the area of downtown .,"['The sir francis drake c a kimpton hotel is pricey and in the downtown area .', 'Sir francis drake c a kimpton hotel is a pricey downtown hotel .']",The sir francis drake c a kimpton hotel is pricey and in the downtown area .,6.0,3.0,4.0
240,"inform(name='stanford court san francisco',price_range='pricey',area='nob hill')",Stanford court san francisco has a pricey price range in the area of nob hill .,['The stanford court san francisco is a pricey hotel in the nob hill area .'],The stanford court san francisco is a pricey hotel in the nob hill area .,5.0,4.5,3.0
241,"inform(name='suites at fisherman 7s wharf',accepts_credit_cards='yes')",Suites at fisherman 7s wharf accepts credit cards .,"['The suites at fisherman 7s wharf accepts credit card -s', 'Suites at fisherman 7s wharf accepts credit card -s .']",The suites at fisherman 7s wharf accepts credit card -s,6.0,5.5,6.0
242,"inform(name='suites at fisherman 7s wharf',phone='4157710200')",You may reach the suites at fisherman 7s wharf at 4157710200 .,"['The suites at fisherman 7s wharf phone number is 4157710200', 'Suites at fisherman 7s wharf phone number is 4157710200']",The suites at fisherman 7s wharf phone number is 4157710200,6.0,5.5,6.0
243,"inform(name='super 8 hotel of san francisco',address='1015 geary st',phone='4156735232')","Super 8 hotel of san francisco is located at 1015 geary st , and their phone number is 4156735232 .","['The address of the super 8 hotel of san francisco is 1015 geary st. and the phone number is 4156735232 .', 'The address for super 8 hotel of san francisco is 1015 geary st. and their phone number is 4156735232 .', ""The super 8 hotel of san francisco 's address is 1015 geary st , and their phone number is 4156735232 .""]",The address of the super 8 hotel of san francisco is 1015 geary st. and the phone number is 4156735232 .,6.0,5.0,5.0
244,"inform(name='super 8 hotel of san francisco',area='cathedral hill')",There is a hotel called in the super 8 hotel of san francisco and in the area of cathedral hill .,"['The super 8 hotel of san francisco is in cathedral hill .', 'Super 8 hotel of san francisco is in the area of cathedral hill .', 'There is the super 8 hotel of san francisco in cathedral hill .']",The super 8 hotel of san francisco is in cathedral hill .,5.5,5.0,4.0
245,"inform(name='super 8 san francisco funion square area',dogs_allowed='none',phone='8005369326')",The phone number for super 8 san francisco funion square area is 8005369326 no dogs are allowed there .,['Super 8 san francisco funion square area does not allow dogs and their phone number is 8005369326 .'],Super 8 san francisco funion square area does not allow dogs and their phone number is 8005369326 .,5.5,4.5,3.0
246,"inform(name='super 8 san francisco funion square area',phone='8005369326')",You may reach the super 8 san francisco funion square area at 8005369326 .,"['The phone number for super 8 san francisco funion square area is 8005369326 .', 'The phone number to super 8 san francisco funion square area is 8005369326', 'The phone number of the super 8 san francisco funion square area is 8005369326', 'Phone number for super 8 san francisco funion square area is 8005369326']",The phone number for super 8 san francisco funion square area is 8005369326 .,6.0,5.0,5.0
247,"inform(name='super 8 san francisco funion square area',price_range='inexpensive')",The super 8 san francisco funion square area is a inexpensive hotel .,"['I found super 8 san francisco funion square area that is inexpensive .', 'Super 8 san francisco funion square area is inexpensive', 'The super 8 san francisco funion square area is an inexpensive hotel .', 'Super 8 san francisco funion square area is an inexpensive hotel .', 'I found a super 8 san francisco funion square area that is inexpensive .']",I found super 8 san francisco funion square area that is inexpensive .,6.0,5.5,5.5
248,"inform(name='super 8 san francisco funion square area',price_range='inexpensive',address='415 ofarrell st')",Super 8 san francisco funion square area has a inexpensively priced hotel located at 415 ofarrell st .,['Super 8 san francisco funion square area in an inexpensive hotel located at 415 ofarrell st .'],Super 8 san francisco funion square area in an inexpensive hotel located at 415 ofarrell st .,6.0,5.0,5.0
249,"inform(name='sw hotel',area='chinatown',has_internet='yes')",Sw hotel is near chinatown has internet .,"['I found a sw hotel in chinatown that has internet', 'Sw hotel is in chinatown and has internet .', 'Sw hotel in chinatown has internet']",I found a sw hotel in chinatown that has internet,4.5,2.5,2.0
250,"inform(name='sw hotel',has_internet='yes',area='chinatown')",Sw hotel is near chinatown has internet .,"['I found an sw hotel that has internet in chinatown', 'Sw hotel is in chinatown and has internet .']",I found an sw hotel that has internet in chinatown,4.5,4.0,4.0
251,"inform(name='taj campton place',dogs_allowed='yes')",Thank you the taj campton place allows dogs .,"['Taj campton place is a hotel that allows dogs .', 'The taj campton place allows dogs .']",Taj campton place is a hotel that allows dogs .,6.0,3.5,4.0
252,"inform(name='taj campton place',type='hotel')",The name is taj campton place and it is a nice hotel .,"['Taj campton place is a nice hotel .', 'The taj campton place is a nice hotel .']",Taj campton place is a nice hotel .,4.0,3.0,3.0
253,"inform(name='taylor hotel union square',has_internet='yes')",Taylor hotel union square has internet .,['Taylor hotel union square has internet'],Taylor hotel union square has internet,6.0,6.0,6.0
254,"inform(name='the carriage inn',dogs_allowed='no')",The the carriage inn does not allow dogs .,"['The carriage inn is a nice hotel that does not allow dogs', 'Dogs are not allowed at the carriage inn .', 'The carriage inn does not allow dogs .']",The carriage inn is a nice hotel that does not allow dogs,5.5,4.5,4.0
255,"inform(name='the carriage inn',has_internet='yes',dogs_allowed='no')","The carriage inn has internet , and does not allow dogs .","['The carriage inn has internet and does not allow dogs .', 'The carriage inn is a nice hotel that has internet and does not allow dogs']",The carriage inn has internet and does not allow dogs .,6.0,6.0,5.0
256,"inform(name='the carriage inn',phone='4155528600')",You may reach the carriage inn at 4155528600 .,"[""The carriage inn 's phone number is 4155528600"", 'The phone number for the carriage inn is 4155528600 .', 'The carriage inn is a nice hotel and their phone number is 4155528600', 'The phone number of the carriage inn is 4155528600 .']",The carriage inn 's phone number is 4155528600,4.0,5.0,4.0
257,"inform(name='the donatello',has_internet='yes')",The donatello has internet .,['Well there is a hotel with internet access called the donatello .'],Well there is a hotel with internet access called the donatello .,6.0,6.0,6.0
258,"inform(name='the fairmont san francisco',accepts_credit_cards='yes')",The fairmont san francisco accepts credit cards .,"['The fairmont san francisco accepts credit card -s', 'The fairmont san francisco accepts credit card -s .']",The fairmont san francisco accepts credit card -s,5.5,5.5,5.0
259,"inform(name='the fairmont san francisco',dogs_allowed='yes')",Thank you the fairmont san francisco allows dogs .,"['The fairmont san francisco does allow dogs .', 'The fairmont san francisco allows dogs .', 'The fairmont san francisco is a hotel that allows dogs .', 'Hotel the fairmont san francisco allows dogs .', 'The fairmont san francisco allows dogs', 'I found the hotel the fairmont san francisco that allows dogs']",The fairmont san francisco does allow dogs .,2.5,3.5,3.5
260,"inform(name='the fairmont san francisco',phone='4157725000')",You may reach the fairmont san francisco at 4157725000 .,"['The phone number for the fairmont san francisco is 4157725000 .', 'Sure . The phone number of the fairmont san francisco is 4157725000 .', ""The fairmont san francisco 's phone number is 4157725000 ."", 'The fairmont san francisco can be reached at 4157725000']",The phone number for the fairmont san francisco is 4157725000 .,6.0,5.0,5.5
261,"inform(name='the fairmont san francisco',price_range='pricey')",The the fairmont san francisco is a pricey hotel .,"['The fairmont san francisco is a pricey hotel', 'The fairmont san francisco is a pricey hotel .']",The fairmont san francisco is a pricey hotel,6.0,4.5,5.5
262,"inform(name='the fairmont san francisco',price_range='pricey',area='nob hill')",The fairmont san francisco has a pricey price range in the area of nob hill .,['The fairmont san francisco is a pricey hotel in the nob hill area .'],The fairmont san francisco is a pricey hotel in the nob hill area .,4.5,4.5,3.5
263,"inform(name='the fairmont san francisco',type='hotel')",The name is the fairmont san francisco and it is a nice hotel .,"['The fairmont san francisco is a hotel', 'The fairmont san francisco is a nice hotel .', 'There is a hotel called the fairmont san francisco .']",The fairmont san francisco is a hotel,5.0,3.5,3.5
264,"inform(name='the good hotel',address='112 7th st')",You may find the good hotel at 112 7th st .,"['The good hotel is located at 112 7th st', 'The good hotel is located at 112 7th st .']",The good hotel is located at 112 7th st,6.0,4.5,3.5
265,"inform(name='the good hotel',has_internet='yes')",The good hotel has internet .,"['The good hotel has internet access .', 'The good hotel has internet']",The good hotel has internet access .,6.0,6.0,5.5
266,"inform(name='the inn san francisco',accepts_credit_cards='yes',near='mission')",The inn san francisco is located near mission and they accept credit cards .,"['The inn san francisco is located near mission and they accept credit card -s .', 'The inn san francisco near mission accepts credit card']",The inn san francisco is located near mission and they accept credit card -s .,5.0,4.5,5.0
267,"inform(name='the inn san francisco',address='943 s van ness ave')",You may find the inn san francisco at 943 s van ness ave .,"['The address of the inn san francisco is 943 s van ness ave .', 'The inn san francisco is located at 943 s van ness ave .']",The address of the inn san francisco is 943 s van ness ave .,6.0,5.0,6.0
268,"inform(name='the inn san francisco',has_internet='yes',accepts_credit_cards='yes',near='mission')","The inn san francisco is located near mission , they accept credit cards , and internet access .","['The inn san francisco near mission has internet and does accept credit card -s', 'The inn san francisco is located near mission and they accept credit card -s and internet access .']",The inn san francisco near mission has internet and does accept credit card -s,6.0,3.0,4.0
269,"inform(name='the inn san francisco',has_internet='yes',near='mission')","The the inn san francisco , near the mission does offer internet .","['I have found the inn san francisco that has internet and is located near the mission .', 'The inn san francisco is near mission and has internet', 'The inn san francisco has internet access and is near mission .', 'The inn san francisco has internet and is near the mission']",I have found the inn san francisco that has internet and is located near the mission .,5.0,3.5,3.0
270,"inform(name='the inn san francisco',near='mission',has_internet='yes')","The the inn san francisco , near the mission does offer internet .","['The inn san francisco is near mission and has internet .', 'There is a hotel near the mission called the inn san francisco and they have internet access .']",The inn san francisco is near mission and has internet .,6.0,3.5,3.0
271,"inform(name='the inn san francisco',price_range='moderate',phone='4156410188')","The inn san francisco has a moderate price range , and the phone number is 4156410188 .","['The inn san francisco is moderate -ly priced and their phone number is 4156410188 .', 'The inn san francisco is moderate -ly priced . The phone number is 4156410188 .', 'The inn san francisco is moderate -ly priced . Here is their number 4156410188']",The inn san francisco is moderate -ly priced and their phone number is 4156410188 .,5.5,5.0,5.0
272,"inform(name='the opal',address='1050 van ness ave',phone='8886734711')","The opal is located at 1050 van ness ave , and their phone number is 8886734711 .","['The opal , address 1050 van ness ave. phone 8886734711', 'The opal is located at 1050 van ness ave and the phone number is 8886734711', 'The opal is at 1050 van ness ave. here is their number 8886734711', ""Okay well the opal 's address is 1050 van ness ave and their phone number is 8886734711"", 'The address of the opal is 1050 van ness ave. the phone number is 8886734711 .']","The opal , address 1050 van ness ave. phone 8886734711",6.0,4.0,4.5
273,"inform(name='the opal',area='cathedral hill',price_range='moderate')",The opal has a moderate price range in the area of cathedral hill .,"['Hotel the opal , near cathedral hill . Price range moderate .', 'Yes there is a place called the opal in the area of cathedral hill and they are moderate -ly priced']","Hotel the opal , near cathedral hill . Price range moderate .",5.0,5.0,5.0
274,"inform(name='the orchard hotel',address='665 bush st',phone='4153628878',postcode='94108')","You may find the orchard hotel at 665 bush st , 94108 , and the phone number is 4153628878 .","['The orchard hotel address is 665 bush st , the phone number is 4153628878 and the post code is 94108', 'The orchard hotel is located at 665 bush st. phone number 4153628878 , post code 94108 .', 'Well how about visiting the orchard hotel at 665 bush st and if you want to call them their number is 4153628878 and their postcode is 94108', 'The orchard hotel is located at 665 bush st in postcode 94108. the phone number is 4153628878 .', 'The address of the orchard hotel is 665 bush st , and the phone number is 4153628878 and the postcode is 94108']","The orchard hotel address is 665 bush st , the phone number is 4153628878 and the post code is 94108",6.0,6.0,6.0
275,"inform(name='the orchard hotel',price_range='moderate')",The the orchard hotel is a moderate hotel .,"['The orchard hotel is moderate -ly priced .', 'The orchard hotel is a moderate price range', 'The orchard hotel is in the moderate price range .']",The orchard hotel is moderate -ly priced .,3.0,4.0,3.5
276,"inform(name='the powell hotel',has_internet='yes')",The powell hotel has internet .,"['The powell hotel has internet .', 'The powell hotel has internet']",The powell hotel has internet .,6.0,6.0,6.0
277,"inform(name='the powell hotel',has_internet='yes',accepts_credit_cards='yes')","The powell hotel accepts credit cards , and has internet connection .","['The powell hotel has internet and accepts credit card -s', 'The powell hotel has internet and accepts credit card -s .']",The powell hotel has internet and accepts credit card -s,6.0,6.0,6.0
278,"inform(name='the powell hotel',phone='4153983200')",You may reach the powell hotel at 4153983200 .,"['The phone number of the powell hotel is 4153983200', 'The powell hotel phone number is 4153983200', 'The phone number for the powell hotel is 4153983200', 'The number to the powell hotel is 4153983200']",The phone number of the powell hotel is 4153983200,5.5,4.5,4.0
279,"inform(name='the regency inn',has_internet='yes',price_range='inexpensive',dogs_allowed='no')","The regency inn is also inexpensive , has internet , and does not allow dogs .","['The regency inn has internet , is inexpensive and does not allow dogs .']","The regency inn has internet , is inexpensive and does not allow dogs .",6.0,6.0,5.0
280,"inform(name='the regency inn',phone='4157767440')",You may reach the regency inn at 4157767440 .,"['The phone number of the regency inn is 4157767440 .', ""The regency inn 's phone number 4157767440 ."", ""The regency inn 's phone number is 4157767440 .""]",The phone number of the regency inn is 4157767440 .,6.0,6.0,6.0
281,"inform(name='the st regis san francisco',area='financial district south')",There is a hotel called in the st regis san francisco and in the area of financial district south .,"['The st regis san francisco is near the financial district south .', 'The st regis san francisco is located in the financial district south .', 'The st regis san francisco is in the financial district south .', 'The st regis san francisco hotel is locates in financial district south']",The st regis san francisco is near the financial district south .,6.0,3.0,4.0
282,"inform(name='the st regis san francisco',price_range='ultra high end',address='125 3rd st')",The st regis san francisco has a ultra high endly priced hotel located at 125 3rd st .,"['The st regis san francisco is in the ultra high end price range and the address is 125 3rd st .', 'The address for the st regis san francisco is 125 3rd st and it is an ultra high end hotel .', 'You can find the st regis san francisco hotel on 125 3rd st. the price is ultra high end', 'The st regis san francisco is an ultra high end hotel located at 125 3rd st .']",The st regis san francisco is in the ultra high end price range and the address is 125 3rd st .,5.0,4.0,5.0
283,"inform(name='the tuscan best western plus',address='425 n point st')",You may find the tuscan best western plus at 425 n point st .,"['The address of the tuscan best western plus is 425 n point st .', 'The address of the tuscan best western plus is 425 n point st', 'The tuscan best western plus , address is 425 n point st', 'The tuscan best western plus is at 425 n point st', 'The tuscan best western plus is located at 425 n point st .', 'The tuscan best western plus their address is 425 n point st']",The address of the tuscan best western plus is 425 n point st .,5.0,5.0,5.0
284,"inform(name='the tuscan best western plus',area='north beach')",There is a hotel called in the tuscan best western plus and in the area of north beach .,"['The tuscan best western plus near north beach', 'The tuscan best western plus is in the north beach area .', 'The tuscan best western plus is a hotel in north beach .', 'The tuscan best western plus is situated in north beach .', 'The tuscan best western plus is located in north beach .', 'The tuscan best western plus is in north beach .', 'The tuscan best western plus is a nice hotel in the area of north beach', 'The tuscan best western plus north beach']",The tuscan best western plus near north beach,6.0,3.0,3.0
285,"inform(name='the tuscan best western plus',area='north beach',accepts_credit_cards='yes')","Repeats the tuscan best western plus , accepts credit cards , and in north beach .","['I am happy to inform you that the tuscan best western plus in north beach does accept credit card -s .', 'The tuscan best western plus located in north beach accepts credit card -s .', 'Yes , the tuscan best western plus in north beach accepts credit card -s .', 'The tuscan best western plus , area north beach , accepts credit card -s']",I am happy to inform you that the tuscan best western plus in north beach does accept credit card -s .,4.5,4.5,4.0
286,"inform(name='the tuscan best western plus',area='north beach',dogs_allowed='none')",The the tuscan best western plus allows dogs and is in north beach .,['The tuscan best western plus is in the north beach area and they do not allow dogs .'],The tuscan best western plus is in the north beach area and they do not allow dogs .,3.0,5.0,2.0
287,"inform(name='the tuscan best western plus',has_internet='yes',phone='4155611100')","The the tuscan best western plus does have internet service , and the phone number is 4155611100 .","['The tuscan best western plus does have internet , the phone number is 4155611100 .', 'The tuscan best western plus has internet . The phone number is 4155611100 .']","The tuscan best western plus does have internet , the phone number is 4155611100 .",5.0,5.0,4.5
288,"inform(name='the tuscan best western plus',phone='4155611100')",You may reach the tuscan best western plus at 4155611100 .,"['The tuscan best western plus can be contacted by number 4155611100', 'The tuscan best western plus may be reached at 4155611100 .', 'The tuscan best western plus , phone is 4155611100', 'The phone number of the tuscan best western plus is 4155611100 .']",The tuscan best western plus can be contacted by number 4155611100,6.0,6.0,6.0
289,"inform(name='the westin st francis san francisco on union square',address='335 powell st')",You may find the westin st francis san francisco on union square at 335 powell st .,['The westin st francis san francisco on union square is located at 335 powell st .'],The westin st francis san francisco on union square is located at 335 powell st .,6.0,4.0,4.5
290,"inform(name='the westin st francis san francisco on union square',has_internet='yes')",The westin st francis san francisco on union square has internet .,['The westin st francis san francisco on union square has internet .'],The westin st francis san francisco on union square has internet .,5.0,4.5,4.5
291,"inform(name='the westin st francis san francisco on union square',phone='4153977000')",You may reach the westin st francis san francisco on union square at 4153977000 .,"[""The westin st francis san francisco on union square 's phone number is 4153977000 .""]",The westin st francis san francisco on union square 's phone number is 4153977000 .,6.0,5.0,4.5
292,"inform(name='the wharf inn',address='2601 mason st')",You may find the wharf inn at 2601 mason st .,"['The address of the wharf inn is 2601 mason st', 'The wharf inn is at 2601 mason st .']",The address of the wharf inn is 2601 mason st,6.0,6.0,6.0
293,"inform(name='the wharf inn',area='fishermans wharf')",There is a hotel called in the wharf inn and in the area of fishermans wharf .,"[""The wharf inn 's postal code is the same as fishermans wharf ."", 'The wharf inn is in fishermans wharf']",The wharf inn 's postal code is the same as fishermans wharf .,5.0,3.5,3.5
294,"inform(name='the wharf inn',area='fishermans wharf',dogs_allowed='yes')",Yes there is the wharf inn and in the fishermans wharf area that allows dogs .,"['The wharf inn allows dog in the area of fishermans wharf', 'The wharf inn is near fishermans wharf and does allow dogs .', 'The wharf inn allows dogs and is near fishermans wharf .', 'The wharf inn near fishermans wharf allows dogs', 'The wharf inn is in the fishermans wharf area and allows dogs .', 'Absolutely . The wharf inn at fishermans wharf allows dogs .']",The wharf inn allows dog in the area of fishermans wharf,5.0,5.5,4.0
295,"inform(name='the wharf inn',dogs_allowed='yes')",Thank you the wharf inn allows dogs .,"['The wharf inn allows dogs .', 'The wharf inn does allow dogs .', 'The wharf inn allows dogs']",The wharf inn allows dogs .,4.5,2.0,3.5
296,"inform(name='the wharf inn',near='north beach telegraph hill',dogs_allowed='yes')","You may called the wharf inn , near north beach telegraph hill this hotel allows dogs .","['The wharf inn is near north beach telegraph hill and allows dogs .', 'The wharf inn near north beach telegraph hill does allow dogs .', 'The wharf inn near north beach telegraph hill allows dogs', 'The wharf inn is a hotel near north beach telegraph hill that allows dogs .', 'Yes , the hotel the wharf inn near north beach telegraph hill allows dogs .', 'I found the hotel the wharf inn near north beach telegraph hill . This hotel allows dogs .', 'The wharf inn near north beach telegraph hill allows dogs .', 'The wharf inn is near north beach telegraph hill and allows dogs', 'The wharf inn is located near north beach telegraph hill that allows dogs', 'The wharf inn , which is near north beach telegraph hill , does allow dogs .']",The wharf inn is near north beach telegraph hill and allows dogs .,6.0,5.5,4.0
297,"inform(name='the wharf inn',phone='4156737411')",You may reach the wharf inn at 4156737411 .,"[""The wharf inn 's phone number is 4156737411 ."", 'The phone number of the wharf inn is 4156737411', 'The phone number for the wharf inn is 4156737411 .']",The wharf inn 's phone number is 4156737411 .,6.0,5.5,5.0
298,"inform(name='the wharf inn',phone='4156737411',postcode='94133')","The wharf inn , phone number is 4156737411 , and the postcode is 94133 .","['The wharf inn is 4156737411 and post code 94133', 'The phone number of the wharf inn is 4156737411 and the post code is 94133 .', 'The phone number to the wharf inn is 4156737411 post code 94133', 'The phone number for the wharf inn is 4156737411 , the postcode is 94133 .', 'The wharf inn phone number is 4156737411 and the post code is 94133', 'The wharf inn . 4156737411 , postcode 94133 .', ""The wharf inn 's phone number is 4156737411. the postal code is 94133""]",The wharf inn is 4156737411 and post code 94133,6.0,3.0,3.0
299,"inform(name='the wharf inn',postcode='94133')",The wharf inn postcode is 94133 .,"['The wharf inn postcode is 94133', ""The wharf inn 's post code is 94133 .""]",The wharf inn postcode is 94133,6.0,6.0,6.0
300,"inform(name='union hotel',dogs_allowed='none',has_internet='yes',near='mission')",Union hotel is near mission dogs are not allowed does have internet .,['Union hotel does not allow dogs . It has internet access and is located near mission'],Union hotel does not allow dogs . It has internet access and is located near mission,6.0,5.0,5.0
301,"inform(name='union hotel',has_internet='yes',near='mission')","The union hotel , near the mission does offer internet .","['The union hotel is near mission and has internet .', 'Union hotel has internet connection and is near the mission .']",The union hotel is near mission and has internet .,5.0,4.0,5.0
302,"inform(name='union hotel',near='mission')",He union hotel is located near mission .,"['There is a union hotel near mission .', 'The union hotel is near the mission .', 'The union hotel is in the area of mission .', 'The union hotel near the mission']",There is a union hotel near mission .,5.0,3.5,3.0
303,"inform(name='union hotel',phone='4155520547')",You may reach the union hotel at 4155520547 .,"['The phone number for union hotel is 4155520547', 'The phone number for union hotel is 4155520547 .', 'The phone number for the union hotel is 4155520547 .']",The phone number for union hotel is 4155520547,6.0,5.5,6.0
304,"inform(name='washington square inn',accepts_credit_cards='yes',area='little italy')","Repeats washington square inn , accepts credit cards , and in little italy .","['Washington square inn is a hotel in little italy that accepts credit card -s .', 'The washington square inn in little italy accepts credit card -s .', 'Washington square inn is in little italy and accepts credit card -s']",Washington square inn is a hotel in little italy that accepts credit card -s .,5.5,3.0,2.5
305,"inform(name='winsor hotel',price_range='inexpensive')",The winsor hotel is a inexpensive hotel .,"['The winsor hotel is inexpensive .', 'Winsor hotel is an inexpensive one', 'Winsor hotel is an inexpensive one as you wish']",The winsor hotel is inexpensive .,6.0,4.0,4.5
306,"inform(name='worldmark san francisco',phone='4152482800')",You may reach the worldmark san francisco at 4152482800 .,"[""Sure , worldmark san francisco 's phone number is 4152482800 .""]","Sure , worldmark san francisco 's phone number is 4152482800 .",6.0,5.0,6.0
307,"inform(name='worldmark san francisco',price_range='moderate')",The worldmark san francisco is a moderate hotel .,['Worldmark san francisco is also moderate -ly priced .'],Worldmark san francisco is also moderate -ly priced .,5.5,6.0,5.5
308,"inform(name='w san francisco',accepts_credit_cards='yes')",W san francisco accepts credit cards .,['W san francisco accepts credit card -s'],W san francisco accepts credit card -s,6.0,6.0,6.0
309,"inform(name='w san francisco',area='financial district south')",There is a hotel called in the w san francisco and in the area of financial district south .,['W san francisco is in financial district south .'],W san francisco is in financial district south .,5.0,4.5,4.0
310,"inform(name='w san francisco',price_range='pricey',phone='4157775300')","W san francisco has a pricey price range , and the phone number is 4157775300 .",['W san francisco is pricey . The phone number is 4157775300 .'],W san francisco is pricey . The phone number is 4157775300 .,5.5,4.0,5.0
